dataset,spatial_dims,n_timesteps,timestep,samples,zeros,nonzero_count,zero_fraction,min,max,mean,std,abs_mean_nonzero,dynamic_range_db
large/TTI,448x448x448,201,116,5001,243,4758,0.048590,-6.095034e-03,4.437072e-03,-1.751685e-05,5.798882e-04,2.627077e-04,27.31
large/TTI,448x448x448,201,117,5001,243,4758,0.048590,-3.698281e-03,4.325007e-03,-1.423581e-05,5.684052e-04,2.651159e-04,24.25
large/TTI,448x448x448,201,118,5001,243,4758,0.048590,-4.320938e-03,4.358339e-03,-4.602969e-06,5.309505e-04,2.554520e-04,24.64
large/TTI,448x448x448,201,119,5001,243,4758,0.048590,-4.944466e-03,4.254481e-03,3.728094e-06,5.167536e-04,2.528916e-04,25.82
large/TTI,448x448x448,201,120,5001,243,4758,0.048590,-2.925545e-03,4.242250e-03,1.792994e-06,5.192905e-04,2.561153e-04,24.38
large/TTI,448x448x448,201,121,5001,243,4758,0.048590,-3.959795e-03,3.782454e-03,-9.050342e-06,4.827399e-04,2.519681e-04,23.93
large/TTI,448x448x448,201,122,5001,243,4758,0.048590,-4.027037e-03,4.175525e-03,-1.449516e-05,4.832024e-04,2.591230e-04,24.14
large/TTI,448x448x448,201,123,5001,243,4758,0.048590,-3.084102e-03,4.099540e-03,-7.523506e-06,4.941974e-04,2.660904e-04,23.75
large/TTI,448x448x448,201,124,5001,243,4758,0.048590,-3.047189e-03,4.250791e-03,3.328370e-06,4.904193e-04,2.703448e-04,23.93
large/TTI,448x448x448,201,125,5001,243,4758,0.048590,-3.580377e-03,4.159226e-03,8.727896e-06,4.971502e-04,2.745893e-04,23.61
large/TTI,448x448x448,201,126,5001,243,4758,0.048590,-4.739284e-03,4.204708e-03,7.915268e-06,5.059811e-04,2.854271e-04,24.40
large/TTI,448x448x448,201,127,5001,243,4758,0.048590,-4.271548e-03,4.057017e-03,2.316350e-06,4.866258e-04,2.811943e-04,23.63
large/TTI,448x448x448,201,128,5001,243,4758,0.048590,-3.812862e-03,3.842521e-03,-5.894608e-06,4.717569e-04,2.805724e-04,22.73
large/TTI,448x448x448,201,129,5001,243,4758,0.048590,-2.753712e-03,3.782553e-03,-1.134835e-05,4.685014e-04,2.850293e-04,22.46
large/TTI,448x448x448,201,130,5001,243,4758,0.048590,-3.896321e-03,3.939370e-03,-1.106293e-05,4.570335e-04,2.844122e-04,22.83
large/TTI,448x448x448,201,131,5001,243,4758,0.048590,-5.270796e-03,3.811311e-03,-7.352074e-06,4.575826e-04,2.899584e-04,25.19
large/TTI,448x448x448,201,132,5001,243,4758,0.048590,-4.105042e-03,3.873372e-03,-3.030647e-06,4.526371e-04,2.922382e-04,22.95
large/TTI,448x448x448,201,133,5001,243,4758,0.048590,-4.114740e-03,3.809391e-03,1.109067e-06,4.427399e-04,2.940270e-04,22.92
large/TTI,448x448x448,201,134,5001,243,4758,0.048590,-2.601817e-03,3.817772e-03,3.394000e-06,4.412779e-04,3.002559e-04,22.09
large/TTI,448x448x448,201,135,5001,243,4758,0.048590,-5.861079e-03,3.853835e-03,1.582332e-06,4.492910e-04,3.010615e-04,25.79
large/TTI,448x448x448,201,136,5001,243,4758,0.048590,-3.931128e-03,3.819814e-03,-4.654126e-06,4.402531e-04,2.994509e-04,22.36
large/TTI,448x448x448,201,137,5001,243,4758,0.048590,-2.787563e-03,3.265945e-03,-1.206874e-05,4.351904e-04,3.074312e-04,20.53
large/TTI,448x448x448,201,138,5001,243,4758,0.048590,-4.219343e-03,3.209918e-03,-1.162721e-05,4.367716e-04,3.062201e-04,22.78
large/TTI,448x448x448,201,139,5001,243,4758,0.048590,-5.379382e-03,3.644719e-03,-8.065848e-07,4.369657e-04,3.096586e-04,24.80
large/TTI,448x448x448,201,140,5001,243,4758,0.048590,-1.908447e-03,3.822400e-03,6.480653e-06,4.385279e-04,3.150356e-04,21.68
large/TTI,448x448x448,201,141,5001,243,4758,0.048590,-3.599677e-03,3.721175e-03,1.658816e-06,4.239663e-04,3.091409e-04,21.61
large/TTI,448x448x448,201,142,5001,243,4758,0.048590,-4.166247e-03,3.613445e-03,-6.408828e-06,4.335117e-04,3.166725e-04,22.38
large/TTI,448x448x448,201,143,5001,243,4758,0.048590,-4.503154e-03,3.382735e-03,-9.965897e-06,4.547582e-04,3.310916e-04,22.67
large/TTI,448x448x448,201,144,5001,243,4758,0.048590,-4.628783e-03,2.497550e-03,-7.706398e-06,4.385492e-04,3.240644e-04,23.10
large/TTI,448x448x448,201,145,5001,243,4758,0.048590,-4.895560e-03,3.552037e-03,-8.663672e-08,4.350650e-04,3.254794e-04,23.55
large/TTI,448x448x448,201,146,5001,243,4758,0.048590,-3.142731e-03,3.189282e-03,5.217575e-06,4.414934e-04,3.321239e-04,19.65
large/TTI,448x448x448,201,147,5001,243,4758,0.048590,-3.424312e-03,2.931682e-03,1.808282e-06,4.372470e-04,3.342154e-04,20.21
large/TTI,448x448x448,201,148,5001,243,4758,0.048590,-4.708122e-03,3.805037e-03,-2.643189e-06,4.389820e-04,3.287363e-04,23.12
large/TTI,448x448x448,201,149,5001,243,4758,0.048590,-4.310449e-03,3.340618e-03,-3.284380e-07,4.474170e-04,3.352682e-04,22.18
large/TTI,448x448x448,201,150,5001,243,4758,0.048590,-3.969926e-03,3.433820e-03,1.984917e-06,4.497819e-04,3.386827e-04,21.38
large/TTI,448x448x448,201,151,5001,243,4758,0.048590,-5.468306e-03,2.477258e-03,-2.613244e-06,4.444609e-04,3.393710e-04,24.14
large/TTI,448x448x448,201,152,5001,243,4758,0.048590,-5.126066e-03,2.716613e-03,-6.576370e-06,4.503112e-04,3.429721e-04,23.49
large/TTI,448x448x448,201,153,5001,243,4758,0.048590,-5.279899e-03,3.268079e-03,-2.147684e-06,4.617739e-04,3.460896e-04,23.67
large/TTI,448x448x448,201,154,5001,243,4758,0.048590,-4.843923e-03,2.630556e-03,3.800986e-06,4.501695e-04,3.456790e-04,22.93
large/TTI,448x448x448,201,155,5001,243,4758,0.048590,-4.335414e-03,2.763393e-03,3.889801e-06,4.470845e-04,3.440531e-04,22.01
large/TTI,448x448x448,201,156,5001,243,4758,0.048590,-4.371799e-03,2.635841e-03,3.192469e-06,4.427218e-04,3.424973e-04,22.12
large/TTI,448x448x448,201,157,5001,243,4758,0.048590,-4.335762e-03,3.197726e-03,4.734786e-06,4.315829e-04,3.333621e-04,22.28
large/TTI,448x448x448,201,158,5001,243,4758,0.048590,-3.180398e-03,2.361019e-03,2.895831e-06,4.329578e-04,3.412043e-04,19.39
large/TTI,448x448x448,201,159,5001,243,4758,0.048590,-4.257477e-03,2.926211e-03,-1.102606e-06,4.400917e-04,3.437765e-04,21.86
large/TTI,448x448x448,201,160,5001,243,4758,0.048590,-4.033150e-03,2.349833e-03,-3.611588e-07,4.248516e-04,3.340694e-04,21.64
large/TTI,448x448x448,201,161,5001,243,4758,0.048590,-3.683469e-03,3.159669e-03,8.116776e-07,4.279612e-04,3.385460e-04,20.73
large/TTI,448x448x448,201,162,5001,243,4758,0.048590,-4.418231e-03,2.886055e-03,-5.618071e-06,4.440862e-04,3.470504e-04,22.10
large/TTI,448x448x448,201,163,5001,243,4758,0.048590,-3.737727e-03,2.515041e-03,-1.219124e-05,4.368347e-04,3.397224e-04,20.83
large/TTI,448x448x448,201,164,5001,243,4758,0.048590,-4.835613e-03,1.901138e-03,-7.479281e-06,4.367744e-04,3.420806e-04,23.01
large/TTI,448x448x448,201,165,5001,243,4758,0.048590,-4.855399e-03,2.321440e-03,2.178230e-06,4.410810e-04,3.457175e-04,22.95
large/TTI,448x448x448,201,166,5001,243,4758,0.048590,-4.459728e-03,1.932552e-03,5.929656e-06,4.420463e-04,3.444102e-04,22.24
large/TTI,448x448x448,201,167,5001,243,4758,0.048590,-2.891808e-03,2.225014e-03,6.857981e-06,4.342296e-04,3.464451e-04,18.43
large/TTI,448x448x448,201,168,5001,243,4758,0.048590,-2.951920e-03,1.822312e-03,9.792175e-06,4.266552e-04,3.442084e-04,18.67
large/TTI,448x448x448,201,169,5001,243,4758,0.048590,-2.466899e-03,2.950654e-03,1.100695e-05,4.369022e-04,3.466628e-04,18.60
large/TTI,448x448x448,201,170,5001,243,4758,0.048590,-3.850771e-03,3.163543e-03,6.607246e-06,4.361828e-04,3.438656e-04,20.98
large/TTI,448x448x448,201,171,5001,243,4758,0.048590,-2.382795e-03,2.553718e-03,-1.198381e-06,4.278605e-04,3.436239e-04,17.42
large/TTI,448x448x448,201,172,5001,243,4758,0.048590,-4.144985e-03,2.043837e-03,-6.838719e-06,4.429188e-04,3.479071e-04,21.52
large/TTI,448x448x448,201,173,5001,243,4758,0.048590,-4.567065e-03,3.383764e-03,-7.675008e-06,4.556807e-04,3.500893e-04,22.31
large/TTI,448x448x448,201,174,5001,243,4758,0.048590,-3.652844e-03,2.682458e-03,-6.942189e-06,4.273932e-04,3.392382e-04,20.64
large/TTI,448x448x448,201,175,5001,243,4758,0.048590,-3.347012e-03,3.044692e-03,-7.213840e-06,4.336913e-04,3.421798e-04,19.81
large/TTI,448x448x448,201,176,5001,243,4758,0.048590,-5.018909e-03,2.495923e-03,-3.020558e-06,4.573581e-04,3.538595e-04,23.04
large/TTI,448x448x448,201,177,5001,243,4758,0.048590,-3.950750e-03,2.915275e-03,9.515424e-06,4.448398e-04,3.494240e-04,21.07
large/TTI,448x448x448,201,178,5001,243,4758,0.048590,-4.029507e-03,3.183464e-03,1.917999e-05,4.426462e-04,3.481992e-04,21.27
large/TTI,448x448x448,201,179,5001,243,4758,0.048590,-2.998105e-03,3.448027e-03,1.207585e-05,4.318607e-04,3.417119e-04,20.08
large/TTI,448x448x448,201,180,5001,243,4758,0.048590,-3.926605e-03,2.771349e-03,-7.294817e-06,4.352662e-04,3.443189e-04,21.14
large/TTI,448x448x448,201,181,5001,243,4758,0.048590,-4.836738e-03,1.690345e-03,-2.030439e-05,4.504341e-04,3.515196e-04,22.77
large/TTI,448x448x448,201,182,5001,243,4758,0.048590,-4.339871e-03,2.614611e-03,-1.525250e-05,4.457052e-04,3.504063e-04,21.86
large/TTI,448x448x448,201,183,5001,243,4758,0.048590,-3.945263e-03,3.101612e-03,2.037581e-06,4.351949e-04,3.450179e-04,21.16
large/TTI,448x448x448,201,184,5001,243,4758,0.048590,-2.865000e-03,2.307294e-03,1.594406e-05,4.360375e-04,3.501819e-04,18.26
large/TTI,448x448x448,201,185,5001,243,4758,0.048590,-4.193632e-03,2.174507e-03,1.612200e-05,4.332595e-04,3.445840e-04,21.71
large/TTI,448x448x448,201,186,5001,243,4758,0.048590,-3.900799e-03,1.735628e-03,6.547325e-06,4.345497e-04,3.457991e-04,21.05
large/TTI,448x448x448,201,187,5001,243,4758,0.048590,-3.904908e-03,1.640248e-03,-1.408298e-06,4.407561e-04,3.516093e-04,20.91
large/TTI,448x448x448,201,188,5001,243,4758,0.048590,-3.612453e-03,2.444403e-03,-4.202839e-06,4.293345e-04,3.409472e-04,20.50
large/TTI,448x448x448,201,189,5001,243,4758,0.048590,-2.273952e-03,2.155406e-03,-5.107946e-06,4.262005e-04,3.427453e-04,16.44
large/TTI,448x448x448,201,190,5001,243,4758,0.048590,-2.048962e-03,2.156862e-03,-4.218274e-06,4.250181e-04,3.429786e-04,15.97
large/TTI,448x448x448,201,191,5001,243,4758,0.048590,-3.184892e-03,2.138495e-03,-9.546208e-07,4.248349e-04,3.385293e-04,19.47
large/TTI,448x448x448,201,192,5001,243,4758,0.048590,-2.631582e-03,2.641421e-03,1.208766e-06,4.253216e-04,3.396338e-04,17.82
large/TTI,448x448x448,201,193,5001,243,4758,0.048590,-2.028292e-03,1.833648e-03,-5.150372e-07,4.181068e-04,3.384410e-04,15.55
large/TTI,448x448x448,201,194,5001,243,4758,0.048590,-2.747276e-03,3.014886e-03,-2.901015e-06,4.252007e-04,3.414129e-04,18.92
large/TTI,448x448x448,201,195,5001,243,4758,0.048590,-3.595235e-03,2.240189e-03,-2.346794e-06,4.330415e-04,3.443082e-04,20.38
large/TTI,448x448x448,201,196,5001,243,4758,0.048590,-3.413136e-03,1.677044e-03,-1.149557e-06,4.294478e-04,3.417630e-04,19.99
large/TTI,448x448x448,201,197,5001,243,4758,0.048590,-4.782064e-03,3.340856e-03,5.366036e-07,4.317003e-04,3.430376e-04,22.89
large/TTI,448x448x448,201,198,5001,243,4758,0.048590,-3.121288e-03,2.894532e-03,6.449360e-06,4.291641e-04,3.407781e-04,19.24
large/TTI,448x448x448,201,199,5001,243,4758,0.048590,-2.035210e-03,2.783359e-03,1.196985e-05,4.265505e-04,3.430656e-04,18.18
large/TTI,448x448x448,201,200,5001,243,4758,0.048590,-4.736512e-03,2.620575e-03,8.223951e-06,4.389475e-04,3.416872e-04,22.84
